level_0,level_1,correlacao
IN_CONCLUINTE,IN_DEFICIENCIA_AUDITIVA,0.17580538742193133
TP_GRAU_ACADEMICO,IN_DEFICIENCIA_INTELECTUAL,0.17576247754451402
IN_DEFICIENCIA_INTELECTUAL,TP_GRAU_ACADEMICO,0.17576247754451402
QT_CARGA_HORARIA_TOTAL,IN_COMPLEMENTAR_EXTENSAO,0.1748736792945687
IN_COMPLEMENTAR_EXTENSAO,QT_CARGA_HORARIA_TOTAL,0.1748736792945687
TP_GRAU_ACADEMICO,IN_DEFICIENCIA_CEGUEIRA,0.17347861288540883
IN_DEFICIENCIA_CEGUEIRA,TP_GRAU_ACADEMICO,0.17347861288540883
IN_ATIVIDADE_EXTRACURRICULAR,NU_ANO_NASCIMENTO,0.17287992254118018
NU_ANO_NASCIMENTO,IN_ATIVIDADE_EXTRACURRICULAR,0.17287992254118018
CO_CINE_ROTULO,IN_ATIVIDADE_EXTRACURRICULAR,0.17233625871068728
IN_ATIVIDADE_EXTRACURRICULAR,CO_CINE_ROTULO,0.17233625871068728
IN_RESERVA_RENDA_FAMILIAR,IN_APOIO_SOCIAL,0.17079299735766196
IN_APOIO_SOCIAL,IN_RESERVA_RENDA_FAMILIAR,0.17079299735766196
IN_INGRESSO_VAGA_NOVA,IN_MATRICULA,0.16949182679496405
IN_MATRICULA,IN_INGRESSO_VAGA_NOVA,0.16949182679496405
DT_INGRESSO_CURSO,IN_INGRESSO_VAGA_NOVA,0.16912765765975427
IN_INGRESSO_VAGA_NOVA,DT_INGRESSO_CURSO,0.16912765765975427
CO_PAIS_DESTINO,CO_CINE_ROTULO,0.16857164700534147
CO_CINE_ROTULO,CO_PAIS_DESTINO,0.16857164700534147
DT_INGRESSO_CURSO,IN_INGRESSO_TOTAL,0.16665417075645853
IN_INGRESSO_TOTAL,DT_INGRESSO_CURSO,0.16665417075645853
IN_MATRICULA,NU_ANO_INGRESSO,0.16654776358461518
NU_ANO_INGRESSO,IN_MATRICULA,0.16654776358461518
TP_GRAU_ACADEMICO,IN_BOLSA_MONITORIA,0.16609069364786283
IN_BOLSA_MONITORIA,TP_GRAU_ACADEMICO,0.16609069364786283
IN_MATRICULA,IN_INGRESSO_TOTAL,0.16464450459252988
IN_INGRESSO_TOTAL,IN_MATRICULA,0.16464450459252988
TP_MOBILIDADE_ACADEMICA,QT_CARGA_HORARIA_TOTAL,0.16420240577684947
QT_CARGA_HORARIA_TOTAL,TP_MOBILIDADE_ACADEMICA,0.16420240577684947
TP_SEXO,IN_APOIO_MORADIA,0.16389129037856892
IN_APOIO_MORADIA,TP_SEXO,0.16389129037856892
NU_DIA_NASCIMENTO,IN_TGD_SINDROME_ASPERGER,0.16331035455453732
IN_TGD_SINDROME_ASPERGER,NU_DIA_NASCIMENTO,0.16331035455453732
IN_RESERVA_RENDA_FAMILIAR,IN_APOIO_MORADIA,0.16255793313177622
IN_APOIO_MORADIA,IN_RESERVA_RENDA_FAMILIAR,0.16255793313177622
NU_ANO_NASCIMENTO,TP_TURNO,0.16193451489979407
TP_TURNO,NU_ANO_NASCIMENTO,0.16193451489979407
IN_ATIVIDADE_EXTRACURRICULAR,IN_APOIO_SOCIAL,0.1617335185039148
IN_APOIO_SOCIAL,IN_ATIVIDADE_EXTRACURRICULAR,0.1617335185039148
QT_CARGA_HORARIA_TOTAL,DT_INGRESSO_CURSO,0.1605776743152763
DT_INGRESSO_CURSO,QT_CARGA_HORARIA_TOTAL,0.1605776743152763
IN_APOIO_SOCIAL,IN_RESERVA_VAGAS,0.1603325433037484
IN_RESERVA_VAGAS,IN_APOIO_SOCIAL,0.1603325433037484
IN_BOLSA_MONITORIA,NU_ANO_INGRESSO,0.16027485473766
NU_ANO_INGRESSO,IN_BOLSA_MONITORIA,0.16027485473766
IN_ATIVIDADE_EXTRACURRICULAR,TP_TURNO,0.15631429436944988
TP_TURNO,IN_ATIVIDADE_EXTRACURRICULAR,0.15631429436944988
CO_CINE_ROTULO,IN_APOIO_ALIMENTACAO,0.1559465511494264
IN_APOIO_ALIMENTACAO,CO_CINE_ROTULO,0.1559465511494264
CO_IES_DESTINO,NU_IDADE,0.15110519237594058
NU_IDADE,CO_IES_DESTINO,0.15110519237594058
TP_SITUACAO,IN_DEFICIENCIA_INTELECTUAL,0.15056217763162452
IN_DEFICIENCIA_INTELECTUAL,TP_SITUACAO,0.15056217763162452
IN_TGD_SINDROME_ASPERGER,NU_ANO_NASCIMENTO,0.15016382295366038
NU_ANO_NASCIMENTO,IN_TGD_SINDROME_ASPERGER,0.15016382295366038
IN_DEFICIENCIA_SURDEZ,CO_CURSO,0.15006396262377497
CO_CURSO,IN_DEFICIENCIA_SURDEZ,0.15006396262377497
CO_ALUNO_CURSO,IN_DEFICIENCIA_BAIXA_VISAO,0.14919272328217117
IN_DEFICIENCIA_BAIXA_VISAO,CO_ALUNO_CURSO,0.14919272328217117
IN_MATRICULA,IN_APOIO_SOCIAL,0.1489001833915774
IN_APOIO_SOCIAL,IN_MATRICULA,0.1489001833915774
QT_CARGA_HORARIA_INTEG,TP_ESCOLA_CONCLUSAO_ENS_MEDIO,0.14859359180529505
TP_ESCOLA_CONCLUSAO_ENS_MEDIO,QT_CARGA_HORARIA_INTEG,0.14859359180529505
NU_ANO_NASCIMENTO,CO_PAIS_DESTINO,0.1475734031862074
CO_PAIS_DESTINO,NU_ANO_NASCIMENTO,0.1475734031862074
IN_APOIO_TRANSPORTE,QT_CARGA_HORARIA_TOTAL,0.1469434045422581
QT_CARGA_HORARIA_TOTAL,IN_APOIO_TRANSPORTE,0.1469434045422581
IN_COMPLEMENTAR_PESQUISA,IN_APOIO_TRANSPORTE,0.1459085024974755
IN_APOIO_TRANSPORTE,IN_COMPLEMENTAR_PESQUISA,0.1459085024974755
IN_COMPLEMENTAR_PESQUISA,QT_CARGA_HORARIA_INTEG,0.14492399744881454
QT_CARGA_HORARIA_INTEG,IN_COMPLEMENTAR_PESQUISA,0.14492399744881454
IN_APOIO_ALIMENTACAO,NU_ANO_NASCIMENTO,0.1428628538471328
NU_ANO_NASCIMENTO,IN_APOIO_ALIMENTACAO,0.1428628538471328
IN_DEFICIENCIA_AUDITIVA,IN_RESERVA_ETNICO,0.142202118525867
IN_RESERVA_ETNICO,IN_DEFICIENCIA_AUDITIVA,0.142202118525867
IN_MATRICULA,CO_CINE_ROTULO,0.14157450604729752
CO_CINE_ROTULO,IN_MATRICULA,0.14157450604729752
IN_APOIO_SOCIAL,QT_CARGA_HORARIA_INTEG,0.14105722565811826
QT_CARGA_HORARIA_INTEG,IN_APOIO_SOCIAL,0.14105722565811826
QT_CARGA_HORARIA_TOTAL,NU_ANO_NASCIMENTO,0.14047396215230537
NU_ANO_NASCIMENTO,QT_CARGA_HORARIA_TOTAL,0.14047396215230537
IN_APOIO_ALIMENTACAO,TP_SEXO,0.13908815877105096
TP_SEXO,IN_APOIO_ALIMENTACAO,0.13908815877105096
IN_INGRESSO_TOTAL,TP_SEMESTRE_REFERENCIA,0.13873322891128514
